               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 160,              1.5678,              1.1438,              1.6194,             0.80244,             0.76805,              0.8154,             0.51865,                   0,                   0,                   0,          2.1295e-05,          2.1295e-05,          2.1295e-05
                 161,              1.5534,               1.132,              1.6106,             0.80011,              0.7725,             0.81521,             0.51847,                   0,                   0,                   0,            2.08e-05,            2.08e-05,            2.08e-05
                 162,              1.5551,              1.1198,              1.6223,              0.7969,             0.77399,             0.81583,             0.51887,                   0,                   0,                   0,          2.0305e-05,          2.0305e-05,          2.0305e-05
                 163,              1.5742,              1.1661,              1.6288,             0.81197,             0.76316,             0.81575,             0.51982,                   0,                   0,                   0,           1.981e-05,           1.981e-05,           1.981e-05
                 164,              1.5724,              1.1504,              1.6298,             0.80493,             0.77099,              0.8165,             0.51829,                   0,                   0,                   0,          1.9315e-05,          1.9315e-05,          1.9315e-05
                 165,              1.5545,              1.1305,              1.6144,             0.79909,             0.77053,              0.8164,             0.51886,                   0,                   0,                   0,           1.882e-05,           1.882e-05,           1.882e-05
                 166,              1.5527,              1.1352,              1.6114,             0.80121,             0.76603,               0.816,             0.51965,                   0,                   0,                   0,          1.8325e-05,          1.8325e-05,          1.8325e-05
                 167,                1.56,              1.1157,              1.6084,             0.81022,              0.7634,             0.81705,              0.5196,                   0,                   0,                   0,           1.783e-05,           1.783e-05,           1.783e-05
                 168,              1.5645,              1.1222,              1.6107,             0.80691,             0.76883,             0.81728,              0.5194,                   0,                   0,                   0,          1.7335e-05,          1.7335e-05,          1.7335e-05
                 169,              1.5563,               1.114,              1.6089,             0.80875,             0.76515,             0.81661,             0.51933,                   0,                   0,                   0,           1.684e-05,           1.684e-05,           1.684e-05
                 170,              1.5752,              1.1458,               1.623,             0.81389,             0.76555,              0.8179,             0.51823,                   0,                   0,                   0,          1.6345e-05,          1.6345e-05,          1.6345e-05
                 171,              1.5382,              1.1063,              1.5961,             0.81615,              0.7595,             0.81669,             0.51822,                   0,                   0,                   0,           1.585e-05,           1.585e-05,           1.585e-05
                 172,              1.5493,              1.1253,               1.617,             0.82308,             0.75523,              0.8166,             0.51801,                   0,                   0,                   0,          1.5355e-05,          1.5355e-05,          1.5355e-05
                 173,              1.5582,              1.1266,              1.6132,              0.8237,             0.76083,             0.81735,             0.51909,                   0,                   0,                   0,           1.486e-05,           1.486e-05,           1.486e-05
                 174,              1.5321,              1.1085,              1.5986,             0.82327,             0.75571,             0.81821,             0.51934,                   0,                   0,                   0,          1.4365e-05,          1.4365e-05,          1.4365e-05
                 175,              1.5285,              1.1036,              1.5985,             0.82182,             0.76025,             0.81776,             0.52044,                   0,                   0,                   0,           1.387e-05,           1.387e-05,           1.387e-05
                 176,              1.5347,              1.1067,              1.6045,              0.8211,             0.76001,             0.81734,             0.52144,                   0,                   0,                   0,          1.3375e-05,          1.3375e-05,          1.3375e-05
                 177,               1.525,              1.1132,              1.5967,             0.81909,             0.76179,             0.81753,             0.52172,                   0,                   0,                   0,           1.288e-05,           1.288e-05,           1.288e-05
                 178,              1.5239,              1.0978,               1.583,             0.81752,             0.76503,             0.81898,             0.52318,                   0,                   0,                   0,          1.2385e-05,          1.2385e-05,          1.2385e-05
                 179,              1.5436,              1.1105,              1.6022,             0.81833,             0.75595,             0.81701,             0.52266,                   0,                   0,                   0,           1.189e-05,           1.189e-05,           1.189e-05
                 180,              1.5385,              1.1145,              1.5977,             0.82273,             0.75565,             0.81595,             0.52121,                   0,                   0,                   0,          1.1395e-05,          1.1395e-05,          1.1395e-05
                 181,              1.5405,               1.098,              1.5996,             0.82135,              0.7552,             0.81625,             0.52187,                   0,                   0,                   0,            1.09e-05,            1.09e-05,            1.09e-05
                 182,              1.5179,              1.0858,               1.583,             0.80998,             0.76214,               0.816,             0.52219,                   0,                   0,                   0,          1.0405e-05,          1.0405e-05,          1.0405e-05
                 183,              1.5219,              1.0974,              1.6005,             0.81506,             0.75699,             0.81552,             0.52166,                   0,                   0,                   0,            9.91e-06,            9.91e-06,            9.91e-06
                 184,              1.5174,              1.0946,              1.5928,             0.81324,             0.76148,             0.81617,             0.52197,                   0,                   0,                   0,           9.415e-06,           9.415e-06,           9.415e-06
                 185,              1.5346,              1.1091,              1.6047,             0.81019,             0.76479,             0.81661,             0.52178,                   0,                   0,                   0,            8.92e-06,            8.92e-06,            8.92e-06
                 186,               1.531,              1.1061,              1.5937,             0.80509,             0.76662,             0.81598,             0.52153,                   0,                   0,                   0,           8.425e-06,           8.425e-06,           8.425e-06
                 187,              1.5228,              1.0831,              1.5826,             0.81072,              0.7637,             0.81657,              0.5216,                   0,                   0,                   0,            7.93e-06,            7.93e-06,            7.93e-06
                 188,               1.528,              1.1085,              1.5866,             0.81023,             0.76541,             0.81701,             0.52142,                   0,                   0,                   0,           7.435e-06,           7.435e-06,           7.435e-06
                 189,              1.5209,              1.0902,              1.5901,             0.81144,             0.76008,             0.81642,             0.52166,                   0,                   0,                   0,            6.94e-06,            6.94e-06,            6.94e-06
                 190,              1.5216,              1.0877,              1.5884,             0.80941,             0.75991,             0.81621,             0.52052,                   0,                   0,                   0,           6.445e-06,           6.445e-06,           6.445e-06
                 191,              1.5153,              1.0951,               1.597,             0.81692,             0.75463,             0.81724,             0.52047,                   0,                   0,                   0,            5.95e-06,            5.95e-06,            5.95e-06
                 192,              1.5385,              1.1036,              1.6028,             0.81688,             0.75351,             0.81706,             0.52033,                   0,                   0,                   0,           5.455e-06,           5.455e-06,           5.455e-06
                 193,              1.5106,              1.0713,              1.5892,             0.81466,             0.75282,             0.81718,             0.52156,                   0,                   0,                   0,            4.96e-06,            4.96e-06,            4.96e-06
                 194,              1.5083,              1.0834,              1.5802,             0.80984,             0.75873,             0.81734,             0.52162,                   0,                   0,                   0,           4.465e-06,           4.465e-06,           4.465e-06
                 195,               1.527,              1.0865,              1.5987,             0.81348,             0.75598,             0.81735,             0.52145,                   0,                   0,                   0,            3.97e-06,            3.97e-06,            3.97e-06
                 196,              1.5094,              1.0944,              1.5927,              0.8117,             0.75661,             0.81658,             0.52142,                   0,                   0,                   0,           3.475e-06,           3.475e-06,           3.475e-06
                 197,              1.5196,              1.0923,              1.5909,             0.80924,             0.75954,             0.81662,             0.52146,                   0,                   0,                   0,            2.98e-06,            2.98e-06,            2.98e-06
                 198,              1.5166,              1.0942,              1.5944,             0.80997,             0.75625,             0.81653,             0.52147,                   0,                   0,                   0,           2.485e-06,           2.485e-06,           2.485e-06
                 199,              1.5081,              1.0762,              1.5855,              0.8094,             0.75761,             0.81724,             0.52163,                   0,                   0,                   0,            1.99e-06,            1.99e-06,            1.99e-06
