               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              1.9265,              1.4973,               1.863,             0.74764,             0.72482,             0.76008,             0.41392,                   0,                   0,                   0,           8.218e-05,           8.218e-05,           8.218e-05
                  38,              1.9347,              1.5014,              1.8552,              0.7719,             0.71609,             0.76794,             0.43012,                   0,                   0,                   0,          8.1685e-05,          8.1685e-05,          8.1685e-05
                  39,              1.9166,              1.4862,              1.8495,             0.75748,             0.73319,             0.77474,             0.43506,                   0,                   0,                   0,           8.119e-05,           8.119e-05,           8.119e-05
                  40,              1.8968,              1.4493,              1.8352,             0.74632,             0.72897,              0.7721,             0.42558,                   0,                   0,                   0,          8.0695e-05,          8.0695e-05,          8.0695e-05
                  41,              1.9013,              1.4622,              1.8283,             0.77249,             0.72304,             0.77736,              0.4423,                   0,                   0,                   0,            8.02e-05,            8.02e-05,            8.02e-05
                  42,              1.8857,              1.4623,               1.827,             0.76619,             0.74039,             0.77616,             0.44207,                   0,                   0,                   0,          7.9705e-05,          7.9705e-05,          7.9705e-05
                  43,              1.8933,              1.4512,              1.8295,             0.78672,             0.72817,             0.78305,             0.43802,                   0,                   0,                   0,           7.921e-05,           7.921e-05,           7.921e-05
                  44,              1.8839,              1.4532,              1.8211,             0.74224,              0.7423,             0.77456,             0.44488,                   0,                   0,                   0,          7.8715e-05,          7.8715e-05,          7.8715e-05
                  45,              1.8592,              1.4506,              1.8111,             0.75463,              0.7336,             0.76681,             0.43462,                   0,                   0,                   0,           7.822e-05,           7.822e-05,           7.822e-05
                  46,              1.8683,              1.4381,              1.8181,             0.77316,             0.70873,             0.76288,             0.43542,                   0,                   0,                   0,          7.7725e-05,          7.7725e-05,          7.7725e-05
                  47,               1.873,              1.4508,               1.826,             0.78096,             0.74057,             0.78157,             0.44971,                   0,                   0,                   0,           7.723e-05,           7.723e-05,           7.723e-05
                  48,              1.8365,              1.3963,              1.7853,             0.76949,             0.73395,             0.77056,             0.43714,                   0,                   0,                   0,          7.6735e-05,          7.6735e-05,          7.6735e-05
                  49,              1.8392,              1.4155,              1.7977,             0.75685,             0.73808,             0.76968,             0.43678,                   0,                   0,                   0,           7.624e-05,           7.624e-05,           7.624e-05
                  50,              1.8927,              1.4571,              1.8173,             0.77167,             0.74285,             0.78102,             0.44711,                   0,                   0,                   0,          7.5745e-05,          7.5745e-05,          7.5745e-05
                  51,              1.8719,              1.4387,              1.8157,             0.77207,             0.74145,             0.78043,             0.44846,                   0,                   0,                   0,           7.525e-05,           7.525e-05,           7.525e-05
                  52,              1.8727,              1.4381,              1.8115,             0.78168,             0.74303,             0.78004,             0.44002,                   0,                   0,                   0,          7.4755e-05,          7.4755e-05,          7.4755e-05
                  53,              1.8704,              1.4466,              1.8094,             0.76239,             0.73262,              0.7756,             0.44177,                   0,                   0,                   0,           7.426e-05,           7.426e-05,           7.426e-05
                  54,              1.8585,              1.4096,              1.7847,             0.76275,              0.7284,             0.76233,             0.42681,                   0,                   0,                   0,          7.3765e-05,          7.3765e-05,          7.3765e-05
                  55,              1.8591,              1.4286,              1.7986,             0.74401,             0.74109,             0.77755,              0.4434,                   0,                   0,                   0,           7.327e-05,           7.327e-05,           7.327e-05
                  56,              1.8403,              1.4295,              1.7921,             0.77816,              0.7294,             0.78174,             0.44549,                   0,                   0,                   0,          7.2775e-05,          7.2775e-05,          7.2775e-05
                  57,              1.8327,              1.4222,              1.7948,             0.75624,             0.74594,             0.78063,             0.44696,                   0,                   0,                   0,           7.228e-05,           7.228e-05,           7.228e-05
                  58,              1.8339,              1.4258,              1.7914,             0.76325,             0.74491,             0.78073,             0.45343,                   0,                   0,                   0,          7.1785e-05,          7.1785e-05,          7.1785e-05
                  59,              1.8228,              1.3974,              1.7762,             0.74902,             0.75509,             0.77163,             0.45065,                   0,                   0,                   0,           7.129e-05,           7.129e-05,           7.129e-05
                  60,              1.8232,              1.4008,              1.7783,             0.77794,             0.73034,             0.78872,             0.45455,                   0,                   0,                   0,          7.0795e-05,          7.0795e-05,          7.0795e-05
                  61,              1.8208,              1.3894,              1.7704,             0.75962,             0.75025,             0.78551,             0.45689,                   0,                   0,                   0,            7.03e-05,            7.03e-05,            7.03e-05
                  62,              1.8132,              1.3844,              1.7773,               0.791,             0.74406,             0.79141,             0.45455,                   0,                   0,                   0,          6.9805e-05,          6.9805e-05,          6.9805e-05
                  63,              1.8318,              1.4042,              1.7768,             0.75598,             0.75516,             0.79083,             0.46116,                   0,                   0,                   0,           6.931e-05,           6.931e-05,           6.931e-05
                  64,              1.8081,              1.3662,              1.7691,             0.78362,             0.74983,             0.78187,             0.45394,                   0,                   0,                   0,          6.8815e-05,          6.8815e-05,          6.8815e-05
                  65,              1.7971,              1.3727,              1.7624,             0.76759,             0.75388,             0.78373,             0.46035,                   0,                   0,                   0,           6.832e-05,           6.832e-05,           6.832e-05
                  66,              1.8075,               1.372,               1.766,             0.78512,             0.74148,              0.7915,             0.46261,                   0,                   0,                   0,          6.7825e-05,          6.7825e-05,          6.7825e-05
                  67,              1.8014,              1.3752,              1.7654,             0.78924,             0.75802,             0.79843,             0.46996,                   0,                   0,                   0,           6.733e-05,           6.733e-05,           6.733e-05
                  68,               1.798,              1.3628,              1.7721,             0.79347,             0.74617,             0.78775,             0.46349,                   0,                   0,                   0,          6.6835e-05,          6.6835e-05,          6.6835e-05
                  69,              1.7917,              1.3614,              1.7568,             0.76486,             0.75413,             0.78121,              0.4564,                   0,                   0,                   0,           6.634e-05,           6.634e-05,           6.634e-05
                  70,              1.7933,              1.3645,              1.7562,             0.76635,             0.74181,             0.78795,             0.46474,                   0,                   0,                   0,          6.5845e-05,          6.5845e-05,          6.5845e-05
                  71,              1.7881,              1.3538,              1.7517,             0.78806,             0.74017,             0.78591,             0.46936,                   0,                   0,                   0,           6.535e-05,           6.535e-05,           6.535e-05
                  72,               1.789,              1.3532,              1.7514,              0.7874,             0.74919,             0.79388,             0.46396,                   0,                   0,                   0,          6.4855e-05,          6.4855e-05,          6.4855e-05
                  73,              1.7839,              1.3555,              1.7515,             0.76535,             0.74079,             0.78386,             0.45903,                   0,                   0,                   0,           6.436e-05,           6.436e-05,           6.436e-05
                  74,               1.782,              1.3703,              1.7511,             0.78566,             0.75514,             0.79787,              0.4727,                   0,                   0,                   0,          6.3865e-05,          6.3865e-05,          6.3865e-05
                  75,              1.7708,              1.3467,               1.751,             0.77618,             0.75825,             0.79493,             0.47074,                   0,                   0,                   0,           6.337e-05,           6.337e-05,           6.337e-05
                  76,              1.7694,              1.3383,              1.7423,             0.77907,             0.74447,             0.78923,             0.46702,                   0,                   0,                   0,          6.2875e-05,          6.2875e-05,          6.2875e-05
                  77,              1.7602,              1.3291,              1.7403,             0.78858,             0.74525,             0.78932,             0.46516,                   0,                   0,                   0,           6.238e-05,           6.238e-05,           6.238e-05
                  78,              1.7481,              1.3388,              1.7395,             0.80396,             0.73774,             0.79705,             0.47511,                   0,                   0,                   0,          6.1885e-05,          6.1885e-05,          6.1885e-05
                  79,               1.769,              1.3296,              1.7272,             0.78085,             0.75152,             0.79038,             0.47266,                   0,                   0,                   0,           6.139e-05,           6.139e-05,           6.139e-05
                  80,              1.7373,               1.294,              1.7125,             0.78018,             0.73508,             0.78495,             0.47045,                   0,                   0,                   0,          6.0895e-05,          6.0895e-05,          6.0895e-05
                  81,              1.7633,              1.3435,              1.7427,             0.79057,             0.75175,             0.79908,             0.47434,                   0,                   0,                   0,            6.04e-05,            6.04e-05,            6.04e-05
                  82,              1.7437,              1.3162,              1.7243,             0.77375,             0.76295,              0.7987,             0.47899,                   0,                   0,                   0,          5.9905e-05,          5.9905e-05,          5.9905e-05
